"Item.ID","Data_value","Units","Item","Year","Month_num","Month"
"CPIM.SAP0101",2.79,"Dollars","Bananas, 1kg",2011,12,"December"
"CPIM.SAP0101",2.84,"Dollars","Bananas, 1kg",2012,1,"January"
"CPIM.SAP0101",2.74,"Dollars","Bananas, 1kg",2012,2,"February"
"CPIM.SAP0101",2.73,"Dollars","Bananas, 1kg",2012,3,"March"
"CPIM.SAP0101",2.55,"Dollars","Bananas, 1kg",2012,4,"April"
"CPIM.SAP0101",2.62,"Dollars","Bananas, 1kg",2012,5,"May"
"CPIM.SAP0101",2.59,"Dollars","Bananas, 1kg",2012,6,"June"
"CPIM.SAP0101",2.36,"Dollars","Bananas, 1kg",2012,7,"July"
"CPIM.SAP0101",2.57,"Dollars","Bananas, 1kg",2012,8,"August"
"CPIM.SAP0101",2.55,"Dollars","Bananas, 1kg",2012,9,"September"
"CPIM.SAP0101",2.47,"Dollars","Bananas, 1kg",2012,10,"October"
"CPIM.SAP0101",2.53,"Dollars","Bananas, 1kg",2012,11,"November"
"CPIM.SAP0101",2.63,"Dollars","Bananas, 1kg",2012,12,"December"
"CPIM.SAP0101",2.67,"Dollars","Bananas, 1kg",2013,1,"January"
"CPIM.SAP0101",2.55,"Dollars","Bananas, 1kg",2013,2,"February"
"CPIM.SAP0101",2.8,"Dollars","Bananas, 1kg",2013,3,"March"
"CPIM.SAP0101",2.78,"Dollars","Bananas, 1kg",2013,4,"April"
"CPIM.SAP0101",2.67,"Dollars","Bananas, 1kg",2013,5,"May"
"CPIM.SAP0101",2.54,"Dollars","Bananas, 1kg",2013,6,"June"
"CPIM.SAP0101",2.56,"Dollars","Bananas, 1kg",2013,7,"July"
"CPIM.SAP0101",2.53,"Dollars","Bananas, 1kg",2013,8,"August"
"CPIM.SAP0101",2.68,"Dollars","Bananas, 1kg",2013,9,"September"
"CPIM.SAP0101",2.65,"Dollars","Bananas, 1kg",2013,10,"October"
"CPIM.SAP0101",2.67,"Dollars","Bananas, 1kg",2013,11,"November"
"CPIM.SAP0101",2.64,"Dollars","Bananas, 1kg",2013,12,"December"
"CPIM.SAP0101",2.73,"Dollars","Bananas, 1kg",2014,1,"January"
"CPIM.SAP0101",2.81,"Dollars","Bananas, 1kg",2014,2,"February"
"CPIM.SAP0101",2.73,"Dollars","Bananas, 1kg",2014,3,"March"
"CPIM.SAP0101",2.7,"Dollars","Bananas, 1kg",2014,4,"April"
"CPIM.SAP0101",2.33,"Dollars","Bananas, 1kg",2014,5,"May"
"CPIM.SAP0101",2.24,"Dollars","Bananas, 1kg",2014,6,"June"
"CPIM.SAP0101",2.61,"Dollars","Bananas, 1kg",2014,7,"July"
"CPIM.SAP0101",2.63,"Dollars","Bananas, 1kg",2014,8,"August"
"CPIM.SAP0101",2.77,"Dollars","Bananas, 1kg",2014,9,"September"
