"objectid","basic_colour","body_type","cc_rating","chassis7","first_nz_registration_year","first_nz_registration_month","gross_vehicle_mass","height","import_status","make","model","motive_power","number_of_axles","number_of_seats","nz_assembled","original_country","power_rating","previous_country","road_transport_code","submodel","TLA","transmission_type","vdam_weight","vehicle_type","vehicle_usage","vehicle_year"
13558,"blue","station wagon",1596,"tday10a",1993,10,0,0,"new","Nissan","Sentra","petrol",0,5,"unknown","Japan",0,"None","","","Rotorua District","",0,"passenger car/van","private passenger",1993
13559,"silver","domestic trailer",0,"",1998,1,0,0,"new","Trailer","Domestic Trailer","",2,0,"nz assembled/built","New Zealand",0,"None","","","Masterton District","",0,"trailer/caravan","other goods",1998
13560,"blue","hatchback",1323,"",1994,6,0,0,"new","Mazda","323","petrol",0,5,"unknown","Japan",55,"None","","hatch 3 dr","Auckland","",0,"passenger car/van","private passenger",1994
13561,"red","saloon",2000,"",1993,10,0,0,"new","Honda","Accord","petrol",0,5,"unknown","Japan",0,"None","","lx auto","Auckland","",0,"passenger car/van","private passenger",1993
13562,"blue","saloon",848,"axa2516",1973,3,0,0,"new","Austin","Mini","petrol",0,5,"unknown","Not Known",0,"None","","","Tararua District","",0,"passenger car/van","private passenger",1973
13563,"blue","station wagon",2835,"pe8w-01",2005,7,0,0,"used","Mitsubishi","Delica","diesel",0,8,"imported built-up","Japan",0,"Japan","","spacegear","Christchurch City","",0,"passenger car/van","private passenger",1995
13564,"silver","saloon",3498,"",2006,12,0,0,"new","Nissan","Maxima","petrol",0,5,"imported built-up","Japan",170,"None","","3.5 petrol si","Christchurch City","6-gear auto",0,"passenger car/van","private passenger",2006
13565,"green","saloon",1325,"sl682mg",1987,11,0,0,"new","Holden","Barina","petrol",0,5,"unknown","Japan",0,"None","","","Napier City","",0,"passenger car/van","private passenger",1987
13566,"black","motorcycle",1100,"",1996,7,0,0,"new","Moto Guzzi","1100","petrol",0,0,"imported built-up","Italy",0,"None","","sport","Grey District","",0,"motorcycle","private passenger",1996
13567,"black","domestic trailer",0,"",1996,9,0,0,"new","Trailer","Local","",2,0,"nz assembled/built","New Zealand",0,"None","","","Stratford District","",0,"trailer/caravan","other goods",1996
